isolate_name,gene,genbank_accn
ivsel:Brehm07|LAI (M41L/L210W/T215Y)|exp:1|p25,RT,NULL
ivsel:Brehm07|LAI (M41L/L210W/T215Y)|exp:1|p30,RT,NULL
ivsel:Brehm07|LAI (M41L/L210W/T215Y)|exp:1|p35,RT,NULL
ivsel:Watkins03|SQV|exp:1|p4,PR,NULL
ivsel:Watkins03|SQV|exp:1|p10,PR,NULL
ivsel:Watkins03|SQV|exp:1|p15,PR,NULL
ivsel:Watkins03|SQV|exp:1|p17,PR,NULL
ivsel:Watkins03|SQV|exp:1|p18,PR,NULL
ivsel:Watkins03|SQV|exp:1|p27,PR,NULL
ivsel:Watkins03|SQV|exp:1|p37,PR,NULL
ivsel:Watkins03|SQV|exp:1|p47,PR,NULL
ivsel:Watkins03|RTV|exp:1|p10,PR,NULL
ivsel:Watkins03|RTV|exp:1|p12,PR,NULL
ivsel:Watkins03|RTV|exp:1|p14,PR,NULL
ivsel:Watkins03|RTV|exp:1|p15,PR,NULL
ivsel:Watkins03|RTV|exp:1|p24,PR,NULL
ivsel:Watkins03|RTV|exp:1|p34,PR,NULL
ivsel:Watkins03|RTV|exp:1|p44,PR,NULL
ivsel:Watkins03|IDV|exp:1|p10,PR,NULL
ivsel:Watkins03|IDV|exp:1|p13,PR,NULL
ivsel:Watkins03|IDV|exp:1|p16,PR,NULL
ivsel:Watkins03|IDV|exp:1|p17,PR,NULL
ivsel:Watkins03|IDV|exp:1|p25,PR,NULL
ivsel:Watkins03|IDV|exp:1|p35,PR,NULL
ivsel:Watkins03|IDV|exp:1|p45,PR,NULL
ivsel:Watkins03|SQV+RTV|exp:1|p4,PR,NULL
ivsel:Watkins03|SQV+RTV|exp:1|p10,PR,NULL
ivsel:Watkins03|SQV+RTV|exp:1|p15,PR,NULL
ivsel:Watkins03|SQV+RTV|exp:1|p16,PR,NULL
ivsel:Watkins03|SQV+RTV|exp:1|p17,PR,NULL
ivsel:Watkins03|SQV+RTV|exp:1|p27,PR,NULL
ivsel:Watkins03|RTV+IDV|exp:1|p10,PR,NULL
ivsel:Watkins03|RTV+IDV|exp:1|p14,PR,NULL
ivsel:Watkins03|RTV+IDV|exp:1|p16,PR,NULL
ivsel:Watkins03|RTV+IDV|exp:1|p17,PR,NULL
ivsel:Watkins03|RTV+IDV|exp:1|p27,PR,NULL
ivsel:Watkins03|IDV+SQV|exp:1|p11,PR,NULL
ivsel:Watkins03|IDV+SQV|exp:1|p15,PR,NULL
ivsel:Watkins03|IDV+SQV|exp:1|p18,PR,NULL
ivsel:Watkins03|IDV+SQV|exp:1|p19,PR,NULL
ivsel:Watkins03|IDV+SQV|exp:1|p29,PR,NULL
ivsel:Doyon05|exp:1|p16,PR,NULL
ivsel:Doyon05|exp:1|p33,PR,NULL
ivsel:Doyon05|exp:1|p39,PR,NULL
ivsel:Doyon05|exp:1|p49,PR,NULL
ivsel:Doyon05|exp:1|p68,PR,NULL
ivsel:Doyon05|exp:1|p73,PR,NULL
ivsel:Cox17|BRU|exp:1|dose:120nM,RT,NULL
ivsel:Cox17|BRU|exp:1|dose:28uM,RT,NULL
ivsel:Cox17|BRU|exp:1|dose:640nM,IN,NULL
LAI (K65R),RT,NULL
LAI (K65R),IN,NULL
ivsel:Cox17|LAI (K65R)|exp:1|dose:180nM,RT,NULL
ivsel:Cox17|LAI (K65R)|exp:1|dose:42uM,RT,NULL
ivsel:Cox17|LAI (K65R)|exp:1|dose:640nM,IN,NULL
CI-3TAM,RT,NULL
ivsel:Cox17|CI-3TAM|exp:1|dose:180nM,RT,NULL
ivsel:Cox17|CI-3TAM|exp:1|dose:270nM,RT,NULL
ivsel:Cox17|CI-3TAM|exp:1|dose:42uM,RT,NULL
ivsel:Cox17|CI-3TAM|exp:1|dose:64nM,RT,NULL
ivsel:Cox17|CI-3TAM|exp:1|dose:64nM,IN,NULL
LAI (Q151M),RT,NULL
ivsel:Cox17|LAI (Q151M)|exp:1|dose:585nM,RT,NULL
ivsel:Cox17|LAI (Q151M)|exp:1|dose:137uM,RT,NULL
ivsel:Cox17|LAI (Q151M)|exp:1|dose:640nM,RT,NULL
ivsel:Cox17|LAI (Q151M)|exp:1|dose:640nM,IN,NULL
ivsel:Yoshinaga15|CAB|exp:2|p~4,IN,NULL
ivsel:Yoshinaga15|CAB|exp:2|p~8,IN,NULL
ivsel:Yoshinaga15|CAB|exp:2|p~16,IN,NULL
ivsel:Yoshinaga15|CAB|exp:2|p~20,IN,NULL
ivsel:Yoshinaga15|CAB|exp:2|p~24,IN,NULL
ivsel:Yoshinaga15|CAB|exp:2|p~28,IN,NULL
ivsel:Yoshinaga15|CAB|exp:2|p~32,IN,NULL
ivsel:Yoshinaga15|CAB|exp:3a|p~8,IN,NULL
ivsel:Yoshinaga15|CAB|exp:3a|p~12,IN,NULL
ivsel:Yoshinaga15|CAB|exp:3a|p~16,IN,NULL
ivsel:Yoshinaga15|CAB|exp:3a|p~20,IN,NULL
ivsel:Yoshinaga15|CAB|exp:3a|p~24,IN,NULL
ivsel:Yoshinaga15|CAB|exp:3a|p~28,IN,NULL
ivsel:Yoshinaga15|CAB|exp:3a|p~32,IN,NULL
ivsel:Yoshinaga15|CAB|exp:3b|p~4,IN,NULL
ivsel:Yoshinaga15|CAB|exp:3b|p~8,IN,NULL
ivsel:Yoshinaga15|CAB|exp:3b|p~12,IN,NULL
ivsel:Yoshinaga15|CAB|exp:3b|p~16,IN,NULL
ivsel:Yoshinaga15|CAB|exp:3b|p~20,IN,NULL
ivsel:Yoshinaga15|CAB|exp:3b|p~24,IN,NULL
ivsel:Yoshinaga15|CAB|exp:3b|p~28,IN,NULL
ivsel:Yoshinaga15|CAB|exp:3b|p~32,IN,NULL
ivsel:Yoshinaga15|CAB|exp:4a|p~8,IN,NULL
ivsel:Yoshinaga15|CAB|exp:4a|p~12,IN,NULL
ivsel:Yoshinaga15|CAB|exp:4a|p~16,IN,NULL
ivsel:Yoshinaga15|CAB|exp:4a|p~20,IN,NULL
ivsel:Yoshinaga15|CAB|exp:4a|p~24,IN,NULL
ivsel:Yoshinaga15|CAB|exp:4a|p~28,IN,NULL
ivsel:Yoshinaga15|CAB|exp:4a|p~32,IN,NULL
ivsel:Yoshinaga15|CAB|exp:4b|p~4,IN,NULL
ivsel:Yoshinaga15|CAB|exp:4b|p~8,IN,NULL
ivsel:Yoshinaga15|CAB|exp:4b|p~12,IN,NULL
ivsel:Yoshinaga15|CAB|exp:4b|p~16,IN,NULL
ivsel:Yoshinaga15|CAB|exp:4b|p~20,IN,NULL
ivsel:Yoshinaga15|CAB|exp:4b|p~24,IN,NULL
ivsel:Yoshinaga15|CAB|exp:4b|p~28,IN,NULL
ivsel:Yoshinaga15|CAB|exp:4b|p~32,IN,NULL
ivsel:Yoshinaga15|CAB|exp:4c|p~4,IN,NULL
ivsel:Yoshinaga15|CAB|exp:4c|p~8,IN,NULL
ivsel:Yoshinaga15|CAB|exp:4c|p~12,IN,NULL
ivsel:Yoshinaga15|RAL|exp:1a|p~20,IN,NULL
ivsel:Yoshinaga15|RAL|exp:1a|p~24,IN,NULL
ivsel:Yoshinaga15|RAL|exp:1b|p~16,IN,NULL
ivsel:Yoshinaga15|RAL|exp:1b|p~20,IN,NULL
ivsel:Yoshinaga15|RAL|exp:1b|p~24,IN,NULL
ivsel:Yoshinaga15|RAL|exp:1c|p~8,IN,NULL
ivsel:Yoshinaga15|RAL|exp:1c|p~12,IN,NULL
ivsel:Yoshinaga15|RAL|exp:1c|p~16,IN,NULL
ivsel:Yoshinaga15|RAL|exp:1c|p~20,IN,NULL
ivsel:Yoshinaga15|RAL|exp:1c|p~24,IN,NULL
ivsel:Yoshinaga15|RAL|exp:1d|p~4,IN,NULL
ivsel:Yoshinaga15|RAL|exp:1d|p~8,IN,NULL
ivsel:Yoshinaga15|RAL|exp:1d|p~12,IN,NULL
ivsel:Yoshinaga15|RAL|exp:1d|p~16,IN,NULL
ivsel:Yoshinaga15|RAL|exp:1d|p~20,IN,NULL
ivsel:Yoshinaga15|RAL|exp:1d|p~24,IN,NULL
ivsel:Yoshinaga15|RAL|exp:2a|p~20,IN,NULL
ivsel:Yoshinaga15|RAL|exp:2a|p~24,IN,NULL
ivsel:Yoshinaga15|RAL|exp:2b|p~20,IN,NULL
ivsel:Yoshinaga15|RAL|exp:2b|p~24,IN,NULL
ivsel:Yoshinaga15|RAL|exp:2c|p~8,IN,NULL
ivsel:Yoshinaga15|RAL|exp:2c|p~12,IN,NULL
ivsel:Yoshinaga15|RAL|exp:2c|p~16,IN,NULL
ivsel:Yoshinaga15|RAL|exp:2c|p~20,IN,NULL
ivsel:Yoshinaga15|RAL|exp:2c|p~24,IN,NULL
ivsel:Yoshinaga15|RAL|exp:2d|p~4,IN,NULL
ivsel:Yoshinaga15|RAL|exp:2d|p~8,IN,NULL
ivsel:Yoshinaga15|RAL|exp:2d|p~12,IN,NULL
ivsel:Yoshinaga15|RAL|exp:2d|p~16,IN,NULL
ivsel:Yoshinaga15|RAL|exp:2d|p~20,IN,NULL
ivsel:Yoshinaga15|RAL|exp:2d|p~24,IN,NULL
ivsel:Yoshinaga15|RAL|exp:2e|p~4,IN,NULL
ivsel:Yoshinaga15|RAL|exp:2e|p~8,IN,NULL
ivsel:Yoshinaga15|RAL|exp:2e|p~12,IN,NULL
ivsel:Yoshinaga15|RAL|exp:2e|p~16,IN,NULL
ivsel:Yoshinaga15|RAL|exp:2e|p~20,IN,NULL
ivsel:Yoshinaga15|RAL|exp:3a|p~24,IN,NULL
ivsel:Yoshinaga15|RAL|exp:3b|p~12,IN,NULL
ivsel:Yoshinaga15|RAL|exp:3b|p~16,IN,NULL
ivsel:Yoshinaga15|RAL|exp:3b|p~20,IN,NULL
ivsel:Yoshinaga15|RAL|exp:3b|p~24,IN,NULL
ivsel:Yoshinaga15|RAL|exp:3c|p~8,IN,NULL
ivsel:Yoshinaga15|RAL|exp:3c|p~12,IN,NULL
ivsel:Yoshinaga15|RAL|exp:3c|p~16,IN,NULL
ivsel:Yoshinaga15|RAL|exp:3c|p~20,IN,NULL
ivsel:Yoshinaga15|RAL|exp:3c|p~24,IN,NULL
ivsel:Yoshinaga15|RAL|exp:3d|p~4,IN,NULL
ivsel:Yoshinaga15|RAL|exp:3d|p~8,IN,NULL
ivsel:Yoshinaga15|RAL|exp:3d|p~12,IN,NULL
ivsel:Yoshinaga15|RAL|exp:3d|p~16,IN,NULL
ivsel:Yoshinaga15|RAL|exp:3d|p~20,IN,NULL
ivsel:Yoshinaga15|RAL|exp:3e|p~4,IN,NULL
ivsel:Yoshinaga15|RAL|exp:3e|p~8,IN,NULL
ivsel:Yoshinaga15|RAL|exp:3e|p~12,IN,NULL
ivsel:Yoshinaga15|RAL|exp:4a|p~20,IN,NULL
ivsel:Yoshinaga15|RAL|exp:4a|p~24,IN,NULL
ivsel:Yoshinaga15|RAL|exp:4b1|p~20,IN,NULL
ivsel:Yoshinaga15|RAL|exp:4b1|p~24,IN,NULL
ivsel:Yoshinaga15|RAL|exp:4b2|p~20,IN,NULL
ivsel:Yoshinaga15|RAL|exp:4b2|p~24,IN,NULL
ivsel:Yoshinaga15|RAL|exp:4c1|p~16,IN,NULL
ivsel:Yoshinaga15|RAL|exp:4c1|p~20,IN,NULL
ivsel:Yoshinaga15|RAL|exp:4c1|p~24,IN,NULL
ivsel:Yoshinaga15|RAL|exp:4c2|p~16,IN,NULL
ivsel:Yoshinaga15|RAL|exp:4c2|p~20,IN,NULL
ivsel:Yoshinaga15|RAL|exp:4c2|p~24,IN,NULL
ivsel:Yoshinaga15|RAL|exp:4d|p~8,IN,NULL
ivsel:Yoshinaga15|RAL|exp:4d|p~12,IN,NULL
ivsel:Yoshinaga15|RAL|exp:4d|p~16,IN,NULL
ivsel:Yoshinaga15|RAL|exp:4d|p~20,IN,NULL
ivsel:Yoshinaga15|RAL|exp:4d|p~24,IN,NULL
ivsel:Yoshinaga15|RAL|exp:4e|p~8,IN,NULL
ivsel:Yoshinaga15|RAL|exp:4e|p~12,IN,NULL
ivsel:Yoshinaga15|RAL|exp:4e|p~16,IN,NULL
ivsel:Yoshinaga15|RAL|exp:4e|p~20,IN,NULL
ivsel:Yoshinaga15|RAL|exp:4f|p~4,IN,NULL
ivsel:Yoshinaga15|RAL|exp:4f|p~8,IN,NULL
ivsel:Yoshinaga15|RAL|exp:4f|p~12,IN,NULL
ivsel:Yoshinaga15|RAL|exp:4g|p~4,IN,NULL
ivsel:Yoshinaga15|RAL|exp:4g|p~8,IN,NULL
ivsel:Tsiang16|BIC|exp:1|p3,IN,NULL
ivsel:Tsiang16|BIC|exp:1|p5,IN,NULL
ivsel:Tsiang16|BIC|exp:1|p6,IN,NULL
ivsel:Tsiang16|BIC|exp:1|p8,IN,NULL
ivsel:Tsiang16|BIC|exp:1|p9,IN,NULL
ivsel:Tsiang16|BIC|exp:1|p10,IN,NULL
ivsel:Tsiang16|DTG|exp:1|p4,IN,NULL
ivsel:Tsiang16|DTG|exp:1|p5,IN,NULL
ivsel:Tsiang16|DTG|exp:1|p7,IN,NULL
ivsel:Tsiang16|DTG|exp:1|p9,IN,NULL
ivsel:Tsiang16|DTG|exp:1|p10,IN,NULL
ivsel:Tsiang16|EVG|exp:1|p2,IN,NULL
ivsel:Tsiang16|EVG|exp:1|p4,IN,NULL
ivsel:Tsiang16|EVG|exp:1|p6,IN,NULL
ivsel:Tsiang16|EVG|exp:1|p7,IN,NULL
ivsel:Tsiang16|EVG|exp:1|p9,IN,NULL
ivsel:Tsiang16|EVG|exp:1|p10,IN,NULL
ivsel:Richman91|BRU|exp:1|p1|dose:10uM,RT,NULL
ivsel:Richman91|BRU|exp:1|p3|dose:10uM,RT,NULL
ivsel:Richman91|BRU|exp:1|p5|dose:10uM,RT,NULL
ivsel:Richman91|BRU|exp:1|p1|dose:1uM,RT,NULL
ivsel:Richman91|BRU|exp:1|p17|dose:1uM,RT,NULL
ivsel:Richman91|A018A|exp:1|p1|dose:10uM,RT,NULL
ivsel:Richman91|A018A|exp:1|p5|dose:10uM,RT,NULL
ivsel:Richman91|A018A|exp:1|p1|dose:1uM,RT,NULL
ivsel:Richman91|A018A|exp:1|p5|dose:1uM,RT,NULL
ivsel:Feng15|R8|DOR|exp:1|1seq,RT,NULL
ivsel:Feng15|R8|DOR|exp:1|2seq,RT,NULL
ivsel:Feng15|R8|DOR|exp:2|1seq,RT,NULL
ivsel:Feng15|R8|DOR|exp:2|2seq,RT,NULL
ivsel:Feng15|R8|DOR|exp:2|3seq,RT,NULL
ivsel:Feng15|R8|EFV|exp:1|1seq,RT,NULL
ivsel:Feng15|R8|EFV|exp:1|2seq,RT,NULL
ivsel:Feng15|R8|EFV|exp:2|1seq,RT,NULL
ivsel:Feng15|R8|EFV|exp:2|2seq,RT,NULL
ivsel:Feng15|R8|EFV|exp:2|3seq,RT,NULL
ivsel:Feng15|R8|EFV|exp:3|1seq,RT,NULL
ivsel:Feng15|R8|EFV|exp:3|2seq,RT,NULL
ivsel:Feng15|R8|RPV|exp:1|1seq,RT,NULL
ivsel:Feng15|R8|RPV|exp:1|2seq,RT,NULL
ivsel:Feng15|R8|RPV|exp:1|3seq,RT,NULL
ivsel:Feng15|R8|RPV|exp:2|1seq,RT,NULL
ivsel:Feng15|R8|RPV|exp:2|2seq,RT,NULL
ivsel:Feng15|R8|RPV|exp:3|1seq,RT,NULL
ivsel:Feng15|R8|RPV|exp:3|2seq,RT,NULL
ivsel:Feng15|92RW026|DOR|exp:1|1seq,RT,NULL
ivsel:Feng15|92RW026|DOR|exp:1|2seq,RT,NULL
ivsel:Feng15|92RW026|DOR|exp:2|1seq,RT,NULL
ivsel:Feng15|92RW026|DOR|exp:2|2seq,RT,NULL
ivsel:Feng15|92RW026|DOR|exp:2|3seq,RT,NULL
ivsel:Feng15|92RW026|EFV|exp:1|1seq,RT,NULL
ivsel:Feng15|92RW026|EFV|exp:1|2seq,RT,NULL
ivsel:Feng15|92RW026|EFV|exp:2|1seq,RT,NULL
ivsel:Feng15|92RW026|EFV|exp:2|2seq,RT,NULL
ivsel:Feng15|92RW026|RPV|exp:1|1seq,RT,NULL
ivsel:Feng15|92RW026|RPV|exp:1|2seq,RT,NULL
ivsel:Feng15|92RW026|RPV|exp:1|3seq,RT,NULL
ivsel:Feng15|92RW026|RPV|exp:2|1seq,RT,NULL
ivsel:Feng15|92RW026|RPV|exp:2|2seq,RT,NULL
ivsel:Feng15|93MW959|DOR|exp:1|1seq,RT,NULL
ivsel:Feng15|93MW959|DOR|exp:1|2seq,RT,NULL
ivsel:Feng15|93MW959|DOR|exp:2|1seq,RT,NULL
ivsel:Feng15|93MW959|DOR|exp:2|2seq,RT,NULL
ivsel:Feng15|93MW959|EFV|exp:1|1seq,RT,NULL
ivsel:Feng15|93MW959|EFV|exp:1|2seq,RT,NULL
ivsel:Feng15|93MW959|EFV|exp:1|3seq,RT,NULL
ivsel:Feng15|93MW959|EFV|exp:2|1seq,RT,NULL
ivsel:Feng15|93MW959|EFV|exp:2|2seq,RT,NULL
ivsel:Feng15|93MW959|RPV|exp:1|1seq,RT,NULL
ivsel:Feng15|93MW959|RPV|exp:1|2seq,RT,NULL
ivsel:Feng15|93MW959|RPV|exp:2|1seq,RT,NULL
ivsel:Feng15|93MW959|RPV|exp:2|2seq,RT,NULL
ivsel:Feng15|93MW959|RPV|exp:3|1seq,RT,NULL
ivsel:Feng15|93MW959|RPV|exp:3|2seq,RT,NULL
ivsel:Gong00|exp:1|1mo,PR,NULL
ivsel:Gong00|exp:1|2.4mo,PR,NULL
ivsel:Gong00|exp:1|3.5mo,PR,NULL
ivsel:Gong00|exp:1|4.8mo,PR,NULL
ivsel:Gong00|exp:1|2.6mo,PR,NULL
ivsel:Gong00|exp:1|4.7mo,PR,NULL
ivsel:Gong00|exp:1|3.9mo,PR,NULL
ivsel:Gong00|exp:1|4.6mo,PR,NULL
ivsel:Margot12|EVG|exp:1|p8,IN,NULL
ivsel:Margot12|EVG|exp:1|p11,IN,NULL
ivsel:Margot12|EVG|exp:1|p12,IN,NULL
ivsel:Margot12|EVG|exp:2|p3,IN,NULL
ivsel:Margot12|EVG|exp:2|p4,IN,NULL
ivsel:Margot12|EVG|exp:2|p6,IN,NULL
ivsel:Margot12|EVG|exp:2|p7,IN,NULL
ivsel:Margot12|EVG|exp:2|p9,IN,NULL
ivsel:Margot12|EVG|exp:2|p11,IN,NULL
ivsel:Margot12|EVG|exp:2|p12,IN,NULL
ivsel:Margot12|RAL|exp:1|p11,IN,NULL
NL4-3 (Q148K),IN,NULL
ivsel:Yoshinaga18|NL4-3 (Q148K)|exp:1a|p~8,IN,NULL
ivsel:Yoshinaga18|NL4-3 (Q148K)|exp:1a|p~12,IN,NULL
ivsel:Yoshinaga18|NL4-3 (Q148K)|exp:1a|p~16,IN,NULL
ivsel:Yoshinaga18|NL4-3 (Q148K)|exp:1b|p~4,IN,NULL
ivsel:Yoshinaga18|NL4-3 (Q148K)|exp:1b|p~8,IN,NULL
ivsel:Yoshinaga18|NL4-3 (Q148K)|exp:1b|p~12,IN,NULL
ivsel:Yoshinaga18|NL4-3 (Q148K)|exp:1b|p~16,IN,NULL
ivsel:Yoshinaga18|NL4-3 (Q148K)|exp:2a|p~8,IN,NULL
ivsel:Yoshinaga18|NL4-3 (Q148K)|exp:2a|p~12,IN,NULL
ivsel:Yoshinaga18|NL4-3 (Q148K)|exp:2a|p~16,IN,NULL
ivsel:Yoshinaga18|NL4-3 (Q148K)|exp:2b|p~4,IN,NULL
ivsel:Yoshinaga18|NL4-3 (Q148K)|exp:2b|p~8,IN,NULL
ivsel:Yoshinaga18|NL4-3 (Q148K)|exp:2b|p~12,IN,NULL
ivsel:Yoshinaga18|NL4-3 (Q148K)|exp:2b|p~16,IN,NULL
ivsel:Yoshinaga18|NL4-3 (Q148K)|exp:2c|p~4,IN,NULL
ivsel:Yoshinaga18|NL4-3 (Q148K)|exp:2c|p~8,IN,NULL
ivsel:Yoshinaga18|NL4-3 (Q148K)|exp:2c|p~12,IN,NULL
ivsel:Yoshinaga18|NL4-3 (Q148K)|exp:2c|p~16,IN,NULL
NL4-3 (Q148R),IN,NULL
ivsel:Yoshinaga18|NL4-3 (Q148R)|exp:1a|p~16,IN,NULL
ivsel:Yoshinaga18|NL4-3 (Q148R)|exp:1b|p~12,IN,NULL
ivsel:Yoshinaga18|NL4-3 (Q148R)|exp:1b|p~16,IN,NULL
ivsel:Yoshinaga18|NL4-3 (Q148R)|exp:1c|p~8,IN,NULL
ivsel:Yoshinaga18|NL4-3 (Q148R)|exp:1c|p~12,IN,NULL
ivsel:Yoshinaga18|NL4-3 (Q148R)|exp:1c|p~16,IN,NULL
NL4-3 (Q148H),IN,NULL
ivsel:Yoshinaga18|NL4-3 (Q148H)|exp:1a|p~12,IN,NULL
ivsel:Yoshinaga18|NL4-3 (Q148H)|exp:1a|p~16,IN,NULL
ivsel:Yoshinaga18|NL4-3 (Q148H)|exp:1b|p~8,IN,NULL
ivsel:Yoshinaga18|NL4-3 (Q148H)|exp:1b|p~12,IN,NULL
ivsel:Yoshinaga18|NL4-3 (Q148H)|exp:1b|p~16,IN,NULL
ivsel:Yoshinaga18|NL4-3 (Q148H)|exp:1c|p~8,IN,NULL
ivsel:Yoshinaga18|NL4-3 (Q148H)|exp:1c|p~12,IN,NULL
ivsel:Yoshinaga18|NL4-3 (Q148H)|exp:1c|p~16,IN,NULL
ivsel:Yoshinaga18|NL4-3 (Q148H)|exp:2a|p~8,IN,NULL
ivsel:Yoshinaga18|NL4-3 (Q148H)|exp:2a|p~12,IN,NULL
ivsel:Yoshinaga18|NL4-3 (Q148H)|exp:2a|p~16,IN,NULL
ivsel:Yoshinaga18|NL4-3 (Q148H)|exp:2b|p~8,IN,NULL
ivsel:Yoshinaga18|NL4-3 (Q148H)|exp:2b|p~12,IN,NULL
ivsel:Yoshinaga18|NL4-3 (Q148H)|exp:2b|p~16,IN,NULL
ivsel:Yoshinaga18|NL4-3 (Q148H)|exp:2c|p~4,IN,NULL
ivsel:Yoshinaga18|NL4-3 (Q148H)|exp:2c|p~8,IN,NULL
ivsel:Yoshinaga18|NL4-3 (Q148H)|exp:2c|p~12,IN,NULL
ivsel:Yoshinaga18|NL4-3 (Q148H)|exp:2c|p~16,IN,NULL
ivsel:Margot06|exp:1|14d,RT,NULL
ivsel:Margot06|exp:2|18d,RT,NULL
ivsel:Margot06|exp:1|11d,RT,NULL
ivsel:Margot06|exp:1|56d,RT,NULL
ivsel:Margot06|exp:2|44d,RT,NULL
ivsel:Margot06|exp:1|44d,RT,NULL
ivsel:Margot06|exp:1|24d,RT,NULL
ivsel:Margot06|exp:2|40d,RT,NULL
ivsel:Margot06|exp:3|18d,RT,NULL
ivsel:Margot06|exp:1|18d,RT,NULL
ivsel:Margot06|exp:1|48d,RT,NULL
ivsel:Margot06|exp:2|58d,RT,NULL
ivsel:Margot06|exp:1|58d,RT,NULL
ivsel:Margot06|exp:1|99d,RT,NULL
ivsel:Margot06|exp:2|328d,RT,NULL
ivsel:Margot06|exp:1|203d,RT,NULL
ivsel:Margot06|exp:1|133d,RT,NULL
ivsel:Margot06|exp:2|288d,RT,NULL
ivsel:Margot06|exp:3|71d,RT,NULL
IIIB (M184I/L214F),RT,NULL
ivsel:Margot06|exp:1|42d,RT,NULL
IIIB (K65R),RT,NULL
ivsel:Margot06|exp:1|54d,RT,NULL
ivsel:Margot06|exp:1|329d,RT,NULL
ivsel:Jones08|exp:1|p7,IN,NULL
ivsel:Jones08|exp:1|p11,IN,NULL
ivsel:Jones08|exp:1|p13,IN,NULL
ivsel:Jones08|exp:2|p3,IN,NULL
ivsel:Jones08|exp:2|p6,IN,NULL
ivsel:Jones08|exp:2|p9,IN,NULL
ivsel:Jones08|exp:2|p12,IN,NULL
ivsel:Garvey08|Naphthyridinone|exp:1|18d,IN,NULL
